Frame,Cell_IDs
0,"1,2,3,4,5,6,7,8,9,10,11,12"
1,"2,3,4,5,6,7,8,9,10,11,12,14"
2,"2,3,4,5,6,7,8,9,10,11,12,14"
3,"2,3,4,5,6,7,8,9,10,11,12,14"
4,"2,3,4,5,6,7,8,9,10,11,12,14,22"
5,"2,3,4,5,6,7,8,9,10,11,12,14"
6,"2,3,4,5,6,7,8,9,10,11,12,14"
7,"2,3,4,5,6,7,8,9,10,11,12,14"
8,"2,3,4,5,6,7,8,9,10,11,12"
9,"2,3,4,5,6,7,8,9,10,11,12"
10,"2,3,4,5,6,7,8,9,10,11,12"
11,"2,3,4,5,6,7,8,9,10,11,12,27"
12,"2,3,4,5,6,7,8,9,10,11,12"
13,"2,3,4,5,6,7,8,9,10,11,12"
14,"2,3,4,5,6,7,8,9,10,11,12"
15,"2,3,4,5,6,7,8,9,10,11,12"
16,"2,3,4,6,8,9,10,11,12,36"
17,"2,3,4,6,8,9,10,11,39,40"
18,"2,3,4,6,8,9,10,11,39,40"
19,"2,3,4,6,8,9,10,11,39,40,43,44"
20,"2,3,4,6,8,9,10,11,39,40,43,44"
21,"2,3,4,6,8,9,10,11,40,43"
22,"2,3,4,6,8,9,10,11,40,43"
23,"2,3,4,6,8,9,10,11,40,43"
24,"2,3,4,6,8,9,10,11,40,43"
25,"2,3,4,6,8,9,10,11,40,43"
26,"2,3,6,8,9,10,11,40,43,56,57"
27,"2,3,6,8,9,10,11,40,56,57,62"
28,"2,3,6,8,9,10,11,40,56,57,62"
29,"2,3,6,8,9,10,11,40,56,57,62"
30,"2,3,6,8,9,10,11,40,56,57,62,68"
31,"2,3,6,8,9,10,11,40,56,57,62,72"
32,"2,3,6,8,9,10,11,40,56,57,62,72"
33,"2,3,6,8,9,10,11,40,56,57,72"
34,"2,3,6,8,9,10,11,40,56,57,72"
35,"2,3,6,8,9,10,11,40,56,57,72,76"
36,"2,3,6,8,9,10,11,40,56,57,72,76"
37,"2,3,6,8,9,10,11,40,56,57,72"
38,"2,3,6,8,9,10,11,40,56,57,72"
39,"2,3,6,8,9,10,11,40,56,57,72"
40,"2,3,6,8,9,10,11,40,56,57"
41,"2,3,6,8,9,10,11,40,56,57"
42,"2,3,6,8,9,10,11,40,56,57,86"
43,"2,3,6,8,9,10,11,40,56,57,86"
44,"2,3,6,8,9,10,11,40,56,57,86"
45,"2,3,6,8,9,10,11,40,56,57,86"
46,"2,3,6,8,9,10,11,40,56,86"
47,"2,3,8,9,10,11,40,56,86,94,95"
48,"2,3,8,9,10,11,40,56,94,96"
49,"2,3,8,9,10,11,40,56,94"
50,"2,3,8,9,10,40,56,94"
51,"2,3,8,9,10,40,56,94,103"
52,"2,3,8,9,10,40,56,94"
53,"2,3,8,9,10,40,94,104,105,106"
54,"3,8,9,10,40,94,104,105,106"
55,"3,8,9,10,40,94,105,106,107"
56,"3,8,9,10,40,94,105,106"
57,"3,8,9,10,40,94,105,106"
58,"3,8,9,10,40,94,105,106,116,117"
59,"3,8,9,10,40,94,105,106,117"
60,"8,9,10,40,94,105,106,117"
61,"8,9,10,40,94,105,106,117,119"
62,"8,9,10,40,94,105,106,117,119"
63,"8,9,10,40,94,105,106,117,119"
64,"8,9,10,40,94,105,106,117,121"
65,"8,9,10,40,94,105,106,117,121"
66,"8,9,10,40,94,105,106,117,121"
67,"8,9,10,40,94,105,106,117,121"
68,"8,9,10,40,94,105,106,117,121"
69,"8,9,10,40,94,105,106,117,121,127,128"
70,"8,9,10,40,94,105,106,117,121,127"
71,"8,9,10,40,94,105,117,121,127"
72,"8,9,10,40,94,105,117,127"
73,"8,9,10,40,94,105,117,127"
74,"8,9,10,40,94,105,127"
75,"8,9,10,40,94,105,127"
76,"8,9,10,94,105,127,145,146"
77,"8,9,10,94,105,127,145,146,147"
78,"8,9,10,94,105,127,146,147"
79,"8,9,10,94,105,127,146,147"
80,"8,9,10,94,105,127,146,147,154"
81,"8,9,10,94,105,127,146,147,154"
82,"8,9,10,94,105,127,146,147,154"
83,"8,9,10,94,105,127,146,147,154,158"
84,"8,9,10,94,105,127,146,147,154"
85,"8,9,10,94,105,127,146,147,154"
86,"8,9,10,94,105,127,146,147,154"
87,"8,9,10,94,105,127,146,147,154"
88,"8,9,10,94,105,127,146,147"
89,"8,9,10,94,105,127,146,147"
90,"8,9,10,94,105,127,146,147"
91,"8,9,10,94,105,127,146,147,165,166"
92,"8,9,10,94,105,127,146,147,165,166"
93,"8,9,10,94,105,127,146,147,165,166,168"
94,"8,9,10,94,105,127,146,147,165,166,168"
95,"8,9,10,94,105,127,146,147,165,166,168"
96,"8,9,10,94,105,127,146,147,165,166,168,171"
97,"8,9,10,94,105,127,146,147,165,166,168"
98,"8,9,10,94,105,127,146,147,165,166,168"
99,"8,9,10,94,105,127,146,147,165,166,168"
