PCA1,PCA2,Cell Number,Area_MA,Cluster
2.210952897286039,2.06648492144236,1,26265.0,0
2.2300346262263524,2.0929306230087468,1,27551.5,0
1.4805402188157322,2.119089620857575,1,23668.33333333333,0
1.0508643671990971,2.1487106914553267,1,21889.75,0
0.8081690343043152,2.170587851606751,1,20706.4,0
0.33345599539214366,2.2089101657607717,1,18648.0,0
0.14355553494588427,2.2562258989249013,1,17878.4,1
0.41137493688042953,2.281857808698548,1,19636.6,0
0.7153767709864457,2.305410484142707,1,21484.4,0
0.9932368607395874,2.338611239624889,1,23242.6,0
0.44216156082233227,1.4111557207442686,1,23348.8,0
0.12275849096017379,1.4143710556941957,1,21577.2,1
-0.0010492264148173308,1.2786542353040704,1,19880.0,1
0.2451397283137222,0.5845331090233882,1,19908.2,1
0.5023602493199367,-0.12334061508808956,1,20142.2,0
1.5590925505903575,0.14893082593517842,1,21382.4,0
1.8183470347934934,-0.28553831688748454,1,23183.6,0
1.8901861512594051,-0.5181979037423531,1,24531.8,0
1.6635151761918332,-0.29112909154065725,1,23186.0,0
1.5027728291635662,-0.2523787595795721,1,21573.0,0
1.2597826988940182,-0.3607126947911861,1,21266.4,0
0.18856873372574506,-1.6757967401587899,1,19788.6,1
-1.3256295823361286,-2.4105046380560604,1,18752.6,1
-3.421510971159201,-0.41166471311509406,2,20663.0,1
-3.3390880787594432,-0.43691555991914854,2,20288.0,1
-3.011908190097144,-0.8422799815355028,2,19574.0,1
-2.7459662137193215,-1.3896095088884417,2,19863.75,1
-2.8276847131733187,-1.1772053862505696,2,19393.8,1
-2.709247171699908,-1.3136990733995857,2,19094.8,1
-2.560342872987764,-1.4652478231275887,2,19068.2,1
-2.661783571897918,-1.358348399717182,2,19546.8,1
-2.3087956684968836,-1.1155934305583932,2,20421.8,1
-1.795825714825596,-1.3781911656805865,2,21857.4,1
-1.7078741221047875,-1.2758056372686966,2,22310.4,1
-1.5955489336118975,-1.357417928168254,2,22828.4,1
-1.4283788871855574,-1.715112384942865,2,23313.4,1
-1.9790245935852282,-1.6493164753810132,2,22353.6,1
-2.5976653068005278,-1.2757693353475896,2,21137.4,1
-2.72487792491421,-1.77704597774663,2,20961.0,1
-2.9908382925971275,-1.976692752862719,2,20311.0,1
-2.968189796546174,-1.943143241743193,2,20161.4,1
-2.6482114612325134,-2.214294099668916,2,20282.2,1
-2.4178947422456623,-3.1513934263730787,2,20865.4,1
-2.3889968188763855,-2.66233119652879,2,20691.2,1
-2.4600066910304355,-2.0896069796111716,2,20607.4,1
-2.493423822741329,-2.2219782399216563,2,20364.8,1
-2.5839333684638466,-2.518209828968568,2,20282.4,1
-2.6607465359406084,-2.13410321088986,2,19625.6,1
-2.5557971643565907,-2.3035492716776655,2,19514.6,1
-2.2639318719490173,-2.612614858881575,2,19397.0,1
