Frame,Cell_IDs
0,"1,2,3,4,5,6,7,8,9,10,11,12"
1,"2,3,4,6,7,8,9,10,11,12"
2,"2,3,4,6,7,8,9,10,11,12"
3,"2,3,4,6,7,8,9,10,11,12"
4,"2,3,4,6,7,8,9,10,11,12"
5,"2,3,4,6,7,8,9,10,11,12"
6,"2,3,4,6,7,8,9,10,11,12"
7,"2,3,4,6,7,8,9,10,11,12"
8,"2,3,4,6,7,8,9,10,11,12"
9,"2,3,4,6,7,8,9,10,11,12"
10,"2,3,4,6,7,8,9,10,11,12"
11,"1,2,3,4,6,7,8,9,10,11,12"
12,"2,3,4,6,7,8,9,10,11,12"
13,"2,3,4,6,7,8,9,10,11,12"
14,"2,3,4,6,7,8,9,10,11,12"
15,"2,3,4,6,7,8,9,10,11,12"
16,"1,2,3,4,6,8,9,10,11,12"
17,"2,3,4,6,8,9,10,11,12"
18,"2,3,4,6,8,9,10,11,12"
19,"1,2,3,4,6,8,9,10,11,12"
20,"1,2,3,4,6,8,9,10,11,12"
21,"1,2,3,4,6,8,9,10,11,12"
22,"1,2,3,4,6,8,9,10,11,12"
23,"1,2,3,4,6,8,9,10,11,12"
24,"1,2,3,4,6,8,9,10,11,12"
25,"1,2,3,4,6,8,9,10,11,12"
26,"1,2,3,4,6,8,9,10,11,12"
27,"2,3,4,6,8,9,10,11,12"
28,"2,3,4,6,8,9,10,11,12"
29,"2,3,4,6,8,9,10,11,12"
30,"1,2,3,4,6,8,9,10,11,12"
31,"1,2,3,4,6,8,9,10,11,12"
32,"1,2,3,4,6,8,9,10,11,12"
33,"1,2,3,4,6,8,9,10,11,12"
34,"1,2,3,4,6,8,9,10,11,12"
35,"1,2,3,4,6,8,9,10,11,12"
36,"1,2,3,4,6,8,9,10,11,12"
37,"1,2,3,4,6,8,9,10,11,12"
38,"1,2,3,4,6,8,9,10,11,12"
39,"1,2,3,4,6,8,9,10,11,12"
40,"2,3,4,6,8,9,10,11,12"
41,"2,3,4,6,8,9,10,11,12"
42,"2,3,4,6,8,9,10,11,12"
43,"2,3,4,6,8,9,10,11,12"
44,"2,3,4,6,8,9,10,11,12"
45,"2,3,4,6,8,9,10,11,12"
46,"2,3,4,6,8,9,10,11,12"
47,"2,3,4,6,8,9,10,11,12"
48,"1,2,3,4,6,8,9,10,11,12"
49,"2,3,4,6,8,9,10,11,12"
50,"2,3,4,6,8,9,10,12"
51,"2,3,4,6,8,9,10,12"
52,"2,3,4,6,8,9,10,12"
53,"1,2,3,4,6,8,9,10,12"
54,"1,3,4,6,8,9,10,12"
55,"3,4,6,8,9,10,12"
56,"3,4,6,8,9,10,12"
57,"3,4,6,8,9,10,12"
58,"2,3,4,6,8,9,10,12"
59,"2,3,4,6,8,9,10,12"
60,"3,4,6,8,9,10,12"
61,"3,4,6,8,9,10,12"
62,"3,4,6,8,9,10,12"
63,"3,4,6,8,9,10,12"
64,"2,3,4,6,8,9,10,12"
65,"2,3,4,6,8,9,10,12"
66,"2,3,4,6,8,9,10,12"
67,"2,3,4,6,8,9,10,12"
68,"2,3,4,6,8,9,10,12"
69,"2,3,4,6,8,9,10,12"
70,"2,3,4,6,8,9,10,12"
71,"2,3,4,6,8,9,10,12"
72,"3,4,6,8,9,10,12"
73,"3,4,6,8,9,10,12"
74,"3,4,6,8,9,10,12"
75,"3,4,6,8,9,10,12"
76,"3,4,6,8,9,10,12"
77,"3,4,6,8,9,10,12"
78,"3,4,6,8,9,10,12"
79,"3,4,6,8,9,10,12"
80,"2,3,4,6,8,9,10,12"
81,"2,3,4,6,8,9,10,12"
82,"2,3,4,6,8,9,10,12"
83,"2,3,4,6,8,9,10,12"
84,"2,3,4,6,8,9,10,12"
85,"2,3,4,6,8,9,10,12"
86,"2,3,4,6,8,9,10,12"
87,"2,3,4,6,8,9,10,12"
88,"3,4,6,8,9,10,12"
89,"3,4,6,8,9,10,12"
90,"3,4,6,8,9,10,12"
91,"2,3,4,6,8,9,10,12"
92,"2,3,4,6,8,9,10,12"
93,"2,3,4,6,8,9,10,12"
94,"2,3,4,6,8,9,10,12"
95,"2,3,4,6,8,9,10,12"
96,"2,3,4,6,8,9,10,12"
97,"2,3,4,6,8,9,10,12"
98,"2,3,4,6,8,9,10,12"
99,"2,3,4,6,8,9,10,12"
