lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(128, 64, 32)",100,7.0464,-0.0725
0.001,16,"(128, 64, 32)",200,5.6396,0.1416
0.001,16,"(128, 128, 64, 64, 32, 32, 16, 8)",100,5.5118,0.1611
0.001,16,"(128, 128, 64, 64, 32, 32, 16, 8)",200,4.8914,0.2555
0.001,32,"(128, 64, 32)",100,5.9331,0.097
0.001,32,"(128, 64, 32)",200,5.4678,0.1678
0.001,32,"(128, 128, 64, 64, 32, 32, 16, 8)",100,6.2261,0.0524
0.001,32,"(128, 128, 64, 64, 32, 32, 16, 8)",200,5.3323,0.1884
0.0005,16,"(128, 64, 32)",100,5.3781,0.1814
0.0005,16,"(128, 64, 32)",200,5.8028,0.1168
0.0005,16,"(128, 128, 64, 64, 32, 32, 16, 8)",100,6.0863,0.0737
0.0005,16,"(128, 128, 64, 64, 32, 32, 16, 8)",200,5.4899,0.1644
0.0005,32,"(128, 64, 32)",100,5.7589,0.1235
0.0005,32,"(128, 64, 32)",200,5.2325,0.2036
0.0005,32,"(128, 128, 64, 64, 32, 32, 16, 8)",100,6.1691,0.061
0.0005,32,"(128, 128, 64, 64, 32, 32, 16, 8)",200,5.7413,0.1262
