Cell Number,Frame,Area,Perimeter,Extent,Solidity,Compactness,Elongation,Circularity,Convexity,Centroid_X,Centroid_Y,X_Centroid_Distance,Y_Centroid_Distance,X_Centroid_Velocity,Y_Centroid_Velocity
1,16.0,20176.0,1321.0748433975461,0.7827762654033116,0.581143048746489,0.15198170614001397,0.9788405086897581,0.9310823146596566,0.24227483964112886,341.5148234032268,64.0983716835111,0.9311123131681143,2.1970723308016886,0.478275761295141,0.11461580801490616
2,35.672413793103445,18930.275862068964,759.0610026137721,0.8007314047058034,0.5828715754663246,0.4219373243173012,0.917817215207729,0.6001649116884533,0.5650283125470309,1308.2260135172953,98.91997829131256,-0.29945237967849453,0.3041550499985532,0.31639480616980203,0.11893636216222755
3,39.84848484848485,37528.93939393939,1134.1210247349318,0.8540492044117453,0.6091295519914397,0.37505220014883084,0.9407527484008487,0.7383826491722949,0.4820077156396862,1010.6745081216218,105.55335806193914,-3.0917176107529287,-0.10102730256600245,-1.4568840687158529,-0.02806843126408703
4,52.51428571428571,34596.92857142857,1252.0928279541204,0.7861261059500272,0.5839557611763079,0.2887010677920607,0.8393488176734818,0.7034812239208533,0.4833097815562422,1280.263537268632,695.0482236425386,0.12193853645954147,0.2620818547203076,0.22189551332048355,0.3093862277227892
5,25.166666666666668,28719.416666666668,1522.1359394112121,0.7376301193103849,0.5548744247047844,0.16475000720082153,0.9126347557576658,0.8991659858313419,0.2813718733438823,1161.2709810128326,720.0761608421216,3.4825093919465644,-1.0455875046547571,3.4791911828937434,-0.01392293087547461
6,23.227272727272727,28129.159090909092,1018.2771082984192,0.8170519767922287,0.5428545442245228,0.35485778244856464,0.9353248665607506,0.6525459271731596,0.5347268963746218,781.5438400293563,1279.5027876116417,-0.48502585894433214,0.08073515682848025,0.13426619537808754,0.1303545999236576
7,7.933333333333334,19709.6,715.25353501857,0.920845263651432,0.715447554661241,0.4992998031957291,0.9393219496220634,0.6466469521479353,0.5746083245900684,163.6592570918791,1858.829335583959,-2.392109865247727,0.06972610224159628,-2.3897657281250675,0.08004994831337627
8,59.8974358974359,71921.2564102564,2279.526839231377,0.7363590678061654,0.6478705818147055,0.18509165563843924,0.7995183860659463,0.8402675009434302,0.3598655143934393,1131.3086689571842,1879.4645834905557,-1.3798481225382648,0.04172631523150672,-0.8890453754135064,0.09927933189229081
9,38.34782608695652,50748.82608695652,1912.8766001041108,0.7457467552713154,0.562023721559319,0.17592387781102173,0.9502289431954187,0.9085308567463426,0.2821578200832956,1114.0715411055526,2459.159681784248,-1.4877410509223794,0.2571796147323826,-1.4562562666851582,0.10843563570310552
10,46.04545454545455,26428.848484848484,1013.5441772445735,0.8141896273279985,0.5400868829782797,0.34267898708924366,0.9108799968300497,0.678788283504375,0.5181745117591546,685.0421956728153,2466.0089653495384,-1.7966503212423632,0.18470138844863318,-1.369830519902548,0.05948849973641091
11,24.5,18890.96,670.1647673902435,0.9565180417471336,0.7273932735045353,0.5388647417148781,0.9891894829406732,0.6630804706035707,0.5679793168682964,172.41524924306773,2496.767219791213,-1.6701289888894046,0.1258691137614278,-1.6701289888894046,0.1258691137614278
12,33.333333333333336,80761.85,3318.360009319599,0.526395083070899,0.41447115111875754,0.09323199804743561,0.8195145090057585,0.9142600291944625,0.21257031176560048,1006.179461867819,3057.816647970184,-0.7712430858045991,-0.18210648760432377,-0.6733335877885359,-0.118664864910931
