lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(128, 64, 32)",100,0.2668963074684143,0.9872219562530518
0.001,16,"(128, 64, 32)",200,0.11838618665933609,0.9943320751190186
0.001,16,"(128, 64, 32)",300,0.40297505259513855,0.9807069301605225
0.001,16,"(64, 32, 16)",100,0.16110976040363312,0.9922866225242615
0.001,16,"(64, 32, 16)",200,0.47948575019836426,0.977043867111206
0.001,16,"(64, 32, 16)",300,0.28657346963882446,0.9862798452377319
0.001,16,"(64, 32, 16, 8)",100,0.6254602670669556,0.9700551629066467
0.001,16,"(64, 32, 16, 8)",200,0.2037123441696167,0.9902469515800476
0.001,16,"(64, 32, 16, 8)",300,0.061916105449199677,0.9970356822013855
0.001,16,"(8, 16, 32, 64, 32, 16, 8)",100,21.088491439819336,-0.00964367389678955
0.001,16,"(8, 16, 32, 64, 32, 16, 8)",200,0.19447281956672668,0.9906893372535706
0.001,16,"(8, 16, 32, 64, 32, 16, 8)",300,0.035786353051662445,0.9982866644859314
0.001,32,"(128, 64, 32)",100,0.16372723877429962,0.9921613335609436
0.001,32,"(128, 64, 32)",200,0.22373558580875397,0.989288330078125
0.001,32,"(128, 64, 32)",300,0.21049202978610992,0.9899223446846008
0.001,32,"(64, 32, 16)",100,0.6540817022323608,0.9686848521232605
0.001,32,"(64, 32, 16)",200,0.19668102264404297,0.990583598613739
0.001,32,"(64, 32, 16)",300,0.8230976462364197,0.9605929255485535
0.001,32,"(64, 32, 16, 8)",100,0.17603430151939392,0.9915720820426941
0.001,32,"(64, 32, 16, 8)",200,0.4244343638420105,0.9796795845031738
0.001,32,"(64, 32, 16, 8)",300,0.3321845233440399,0.9840961694717407
0.001,32,"(8, 16, 32, 64, 32, 16, 8)",100,0.21557018160820007,0.9896792769432068
0.001,32,"(8, 16, 32, 64, 32, 16, 8)",200,0.08033464848995209,0.9961538314819336
0.001,32,"(8, 16, 32, 64, 32, 16, 8)",300,0.3710339665412903,0.9822362065315247
0.0005,16,"(128, 64, 32)",100,0.3286513686180115,0.9842653274536133
