lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(128, 64, 32)",100,13.034728050231934,0.6386013627052307
0.001,16,"(128, 64, 32)",200,17.216230392456055,0.5226657390594482
0.001,16,"(128, 64, 32)",300,28.351293563842773,0.21393686532974243
0.001,16,"(64, 32, 16)",100,10.694458961486816,0.7034872770309448
0.001,16,"(64, 32, 16)",200,11.469889640808105,0.6819877624511719
0.001,16,"(64, 32, 16)",300,6.9838175773620605,0.8063678741455078
0.001,16,"(64, 32, 16, 8)",100,4.71765661239624,0.8691990375518799
0.001,16,"(64, 32, 16, 8)",200,34.99248504638672,0.029804348945617676
0.001,16,"(64, 32, 16, 8)",300,7.686083793640137,0.7868969440460205
0.001,16,"(8, 16, 32, 64, 32, 16, 8)",100,5.610787868499756,0.8444362282752991
0.001,16,"(8, 16, 32, 64, 32, 16, 8)",200,6.851958751678467,0.8100237846374512
0.001,16,"(8, 16, 32, 64, 32, 16, 8)",300,26.882667541503906,0.25465571880340576
0.001,32,"(128, 64, 32)",100,10.318940162658691,0.713898777961731
0.001,32,"(128, 64, 32)",200,12.07296085357666,0.6652671098709106
0.001,32,"(128, 64, 32)",300,11.351811408996582,0.685261607170105
0.001,32,"(64, 32, 16)",100,4.560689449310303,0.8735511302947998
0.001,32,"(64, 32, 16)",200,5.752597808837891,0.8405044674873352
0.001,32,"(64, 32, 16)",300,5.570953369140625,0.8455407023429871
0.001,32,"(64, 32, 16, 8)",100,4.399505615234375,0.8780200481414795
0.001,32,"(64, 32, 16, 8)",200,47.5089111328125,-0.31722402572631836
0.001,32,"(64, 32, 16, 8)",300,4.88396692276001,0.8645879626274109
0.001,32,"(8, 16, 32, 64, 32, 16, 8)",100,11.228368759155273,0.6886841058731079
0.001,32,"(8, 16, 32, 64, 32, 16, 8)",200,4.025791645050049,0.8883816003799438
0.001,32,"(8, 16, 32, 64, 32, 16, 8)",300,37.18763732910156,-0.031058192253112793
0.0005,16,"(128, 64, 32)",100,4.977346420288086,0.8619989156723022
0.0005,16,"(128, 64, 32)",200,9.623046875,0.733193039894104
0.0005,16,"(128, 64, 32)",300,36.54861068725586,-0.013340592384338379
0.0005,16,"(64, 32, 16)",100,7.920804977416992,0.7803890705108643
0.0005,16,"(64, 32, 16)",200,6.513763427734375,0.8194004893302917
0.0005,16,"(64, 32, 16)",300,4.501430511474609,0.8751941323280334
0.0005,16,"(64, 32, 16, 8)",100,5.406657695770264,0.8500959277153015
0.0005,16,"(64, 32, 16, 8)",200,11.833938598632812,0.6718941926956177
0.0005,16,"(64, 32, 16, 8)",300,17.607820510864258,0.5118085145950317
0.0005,16,"(8, 16, 32, 64, 32, 16, 8)",100,6.021360874176025,0.8330527544021606
0.0005,16,"(8, 16, 32, 64, 32, 16, 8)",200,4.897550582885742,0.8642113208770752
0.0005,16,"(8, 16, 32, 64, 32, 16, 8)",300,9.647482872009277,0.7325155735015869
0.0005,32,"(128, 64, 32)",100,4.165489673614502,0.8845083117485046
0.0005,32,"(128, 64, 32)",200,6.000479221343994,0.8336317539215088
0.0005,32,"(128, 64, 32)",300,5.586643695831299,0.8451056480407715
0.0005,32,"(64, 32, 16)",100,6.991302967071533,0.8061603307723999
0.0005,32,"(64, 32, 16)",200,7.913089275360107,0.7806030511856079
0.0005,32,"(64, 32, 16)",300,7.997946739196777,0.7782502770423889
0.0005,32,"(64, 32, 16, 8)",100,37.74216079711914,-0.0464327335357666
0.0005,32,"(64, 32, 16, 8)",200,4.263327598571777,0.8817957043647766
0.0005,32,"(64, 32, 16, 8)",300,3.769463062286377,0.8954885005950928
0.0005,32,"(8, 16, 32, 64, 32, 16, 8)",100,4.9930925369262695,0.8615623712539673
0.0005,32,"(8, 16, 32, 64, 32, 16, 8)",200,19.571269989013672,0.4573702812194824
0.0005,32,"(8, 16, 32, 64, 32, 16, 8)",300,9.301785469055176,0.7421002388000488
1e-05,16,"(128, 64, 32)",100,34.16167068481445,0.05283927917480469
1e-05,16,"(128, 64, 32)",200,33.89354705810547,0.06027323007583618
1e-05,16,"(128, 64, 32)",300,33.151649475097656,0.08084297180175781
1e-05,16,"(64, 32, 16)",100,35.359642028808594,0.01962459087371826
1e-05,16,"(64, 32, 16)",200,34.640289306640625,0.03956925868988037
1e-05,16,"(64, 32, 16)",300,34.845924377441406,0.03386777639389038
1e-05,16,"(64, 32, 16, 8)",100,35.58264923095703,0.01344156265258789
1e-05,16,"(64, 32, 16, 8)",200,35.810035705566406,0.0071370601654052734
1e-05,16,"(64, 32, 16, 8)",300,35.09474563598633,0.02696901559829712
1e-05,16,"(8, 16, 32, 64, 32, 16, 8)",100,36.31635284423828,-0.0069010257720947266
1e-05,16,"(8, 16, 32, 64, 32, 16, 8)",200,36.19132614135742,-0.0034345388412475586
1e-05,16,"(8, 16, 32, 64, 32, 16, 8)",300,36.286468505859375,-0.006072521209716797
1e-05,32,"(128, 64, 32)",100,36.57843780517578,-0.014167547225952148
1e-05,32,"(128, 64, 32)",200,34.06786346435547,0.05544018745422363
1e-05,32,"(128, 64, 32)",300,34.649166107177734,0.03932315111160278
1e-05,32,"(64, 32, 16)",100,34.02067565917969,0.05674850940704346
1e-05,32,"(64, 32, 16)",200,35.86124038696289,0.005717337131500244
1e-05,32,"(64, 32, 16)",300,32.771183013916016,0.09139180183410645
1e-05,32,"(64, 32, 16, 8)",100,41.152442932128906,-0.14098572731018066
1e-05,32,"(64, 32, 16, 8)",200,36.82719039916992,-0.021064400672912598
1e-05,32,"(64, 32, 16, 8)",300,35.32673645019531,0.02053689956665039
1e-05,32,"(8, 16, 32, 64, 32, 16, 8)",100,36.39850616455078,-0.009178757667541504
1e-05,32,"(8, 16, 32, 64, 32, 16, 8)",200,36.021610260009766,0.0012710094451904297
1e-05,32,"(8, 16, 32, 64, 32, 16, 8)",300,36.54688262939453,-0.013292670249938965
