lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(128, 64, 32)",100,77.25550842285156,0.39461761713027954
0.001,8,"(128, 64, 32)",200,78.37269592285156,0.3858632445335388
0.001,8,"(128, 64, 32)",300,87.47602844238281,0.31452858448028564
0.001,8,"(64, 32, 16)",100,79.57518005371094,0.3764404058456421
0.001,8,"(64, 32, 16)",200,90.3353271484375,0.2921227812767029
0.001,8,"(64, 32, 16)",300,82.31535339355469,0.3549681305885315
0.001,8,"(64, 32, 16, 8)",100,77.321533203125,0.39410024881362915
0.001,8,"(64, 32, 16, 8)",200,80.28475952148438,0.3708800673484802
0.001,8,"(64, 32, 16, 8)",300,85.85200500488281,0.32725459337234497
0.001,8,"(128, 64, 32, 16, 8)",100,84.0367660522461,0.34147894382476807
0.001,8,"(128, 64, 32, 16, 8)",200,76.73147583007812,0.3987240195274353
0.001,8,"(128, 64, 32, 16, 8)",300,75.08317565917969,0.4116402268409729
0.001,8,"(256, 128, 64, 32, 16)",100,78.57213592529297,0.3843003511428833
0.001,8,"(256, 128, 64, 32, 16)",200,81.59040832519531,0.36064887046813965
0.001,8,"(256, 128, 64, 32, 16)",300,86.74533081054688,0.320254385471344
0.001,16,"(128, 64, 32)",100,77.21206665039062,0.3949580192565918
0.001,16,"(128, 64, 32)",200,81.95994567871094,0.3577531576156616
0.001,16,"(128, 64, 32)",300,97.39640045166016,0.2367914319038391
0.001,16,"(64, 32, 16)",100,78.24323272705078,0.38687771558761597
0.001,16,"(64, 32, 16)",200,83.4522933959961,0.3460589647293091
0.001,16,"(64, 32, 16)",300,79.1059799194336,0.38011711835861206
0.001,16,"(64, 32, 16, 8)",100,78.61157989501953,0.3839913010597229
0.001,16,"(64, 32, 16, 8)",200,77.97892761230469,0.38894885778427124
0.001,16,"(64, 32, 16, 8)",300,74.60474395751953,0.4153892993927002
0.001,16,"(128, 64, 32, 16, 8)",100,82.0074462890625,0.3573809266090393
0.001,16,"(128, 64, 32, 16, 8)",200,75.10071563720703,0.4115028381347656
0.001,16,"(128, 64, 32, 16, 8)",300,80.20872497558594,0.3714759349822998
0.001,16,"(256, 128, 64, 32, 16)",100,75.1648941040039,0.4109998941421509
0.001,16,"(256, 128, 64, 32, 16)",200,86.66581726074219,0.32087743282318115
0.001,16,"(256, 128, 64, 32, 16)",300,79.72530364990234,0.375264048576355
0.001,32,"(128, 64, 32)",100,80.99215698242188,0.3653368353843689
0.001,32,"(128, 64, 32)",200,72.77952575683594,0.4296919107437134
0.001,32,"(128, 64, 32)",300,80.62954711914062,0.36817824840545654
0.001,32,"(64, 32, 16)",100,85.8902816772461,0.32695460319519043
0.001,32,"(64, 32, 16)",200,89.65972137451172,0.2974168658256531
0.001,32,"(64, 32, 16)",300,81.17682647705078,0.36388975381851196
0.001,32,"(64, 32, 16, 8)",100,79.44944763183594,0.3774257302284241
0.001,32,"(64, 32, 16, 8)",200,79.72570037841797,0.37526094913482666
0.001,32,"(64, 32, 16, 8)",300,80.3895034790039,0.3700592517852783
0.001,32,"(128, 64, 32, 16, 8)",100,81.09687805175781,0.3645162582397461
