lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(256, 128, 64)",100,78.5418701171875,0.3845375180244446
0.001,8,"(256, 128, 64)",200,89.6578598022461,0.29743146896362305
0.001,8,"(256, 128, 64)",300,96.16590881347656,0.24643373489379883
0.001,8,"(128, 64, 32)",100,79.54767608642578,0.3766559362411499
0.001,8,"(128, 64, 32)",200,82.91905975341797,0.3502374291419983
0.001,8,"(128, 64, 32)",300,79.04717254638672,0.3805779814720154
0.001,8,"(64, 32, 16)",100,80.06558227539062,0.3725975751876831
0.001,8,"(64, 32, 16)",200,83.14152526855469,0.34849417209625244
0.001,8,"(64, 32, 16)",300,83.26347351074219,0.3475385904312134
0.001,8,"(32, 16, 8)",100,96.991943359375,0.23996084928512573
0.001,8,"(32, 16, 8)",200,81.63419342041016,0.3603057861328125
0.001,8,"(32, 16, 8)",300,75.05660247802734,0.4118484854698181
0.001,8,"(64, 32, 16, 8)",100,77.72695922851562,0.39092326164245605
0.001,8,"(64, 32, 16, 8)",200,80.5550537109375,0.3687620162963867
0.001,8,"(64, 32, 16, 8)",300,78.47412872314453,0.385068416595459
0.001,16,"(256, 128, 64)",100,76.52294921875,0.40035802125930786
0.001,16,"(256, 128, 64)",200,89.06095886230469,0.30210888385772705
0.001,16,"(256, 128, 64)",300,99.0356216430664,0.22394633293151855
0.001,16,"(128, 64, 32)",100,76.927978515625,0.39718419313430786
0.001,16,"(128, 64, 32)",200,75.89360046386719,0.4052897095680237
0.001,16,"(128, 64, 32)",300,76.58060455322266,0.3999062776565552
0.001,16,"(64, 32, 16)",100,81.75627136230469,0.35934919118881226
0.001,16,"(64, 32, 16)",200,80.62371063232422,0.36822402477264404
0.001,16,"(64, 32, 16)",300,89.87577819824219,0.2957238554954529
0.001,16,"(32, 16, 8)",100,90.05716705322266,0.29430246353149414
0.001,16,"(32, 16, 8)",200,85.12034606933594,0.3329879641532898
0.001,16,"(32, 16, 8)",300,85.66002655029297,0.3287588953971863
0.001,16,"(64, 32, 16, 8)",100,80.49295043945312,0.3692486882209778
0.001,16,"(64, 32, 16, 8)",200,82.2450180053711,0.35551929473876953
0.001,16,"(64, 32, 16, 8)",300,77.84770965576172,0.38997703790664673
0.001,32,"(256, 128, 64)",100,76.17040252685547,0.40312063694000244
0.001,32,"(256, 128, 64)",200,78.48704528808594,0.38496720790863037
0.001,32,"(256, 128, 64)",300,78.416748046875,0.38551801443099976
0.001,32,"(128, 64, 32)",100,78.96549224853516,0.3812180161476135
0.001,32,"(128, 64, 32)",200,76.34761047363281,0.40173202753067017
0.001,32,"(128, 64, 32)",300,79.14163208007812,0.3798377513885498
0.001,32,"(64, 32, 16)",100,84.60794830322266,0.3370031714439392
0.001,32,"(64, 32, 16)",200,79.337890625,0.3782998323440552
0.001,32,"(64, 32, 16)",300,85.43016052246094,0.3305601477622986
0.001,32,"(32, 16, 8)",100,96.68812561035156,0.24234157800674438
0.001,32,"(32, 16, 8)",200,96.03877258300781,0.2474299669265747
0.001,32,"(32, 16, 8)",300,91.51404571533203,0.28288620710372925
0.001,32,"(64, 32, 16, 8)",100,82.05457305908203,0.357011616230011
0.001,32,"(64, 32, 16, 8)",200,79.33576965332031,0.3783164620399475
0.001,32,"(64, 32, 16, 8)",300,77.40181732177734,0.3934711217880249
0.0001,8,"(256, 128, 64)",100,90.57019805908203,0.29028230905532837
0.0001,8,"(256, 128, 64)",200,88.45539093017578,0.3068541884422302
0.0001,8,"(256, 128, 64)",300,82.50601959228516,0.3534740209579468
0.0001,8,"(128, 64, 32)",100,108.47388458251953,0.1499871015548706
0.0001,8,"(128, 64, 32)",200,90.53910827636719,0.29052597284317017
0.0001,8,"(128, 64, 32)",300,93.37456512451172,0.2683069705963135
0.0001,8,"(64, 32, 16)",100,117.989990234375,0.07541793584823608
0.0001,8,"(64, 32, 16)",200,115.02180480957031,0.09867691993713379
0.0001,8,"(64, 32, 16)",300,110.30754852294922,0.13561832904815674
0.0001,8,"(32, 16, 8)",100,122.88731384277344,0.03704196214675903
0.0001,8,"(32, 16, 8)",200,120.48384857177734,0.05587571859359741
0.0001,8,"(32, 16, 8)",300,110.99101257324219,0.1302626132965088
0.0001,8,"(64, 32, 16, 8)",100,117.79662322998047,0.07693314552307129
0.0001,8,"(64, 32, 16, 8)",200,96.12826538085938,0.24672871828079224
0.0001,8,"(64, 32, 16, 8)",300,82.11966705322266,0.35650157928466797
0.0001,16,"(256, 128, 64)",100,98.85409545898438,0.22536879777908325
0.0001,16,"(256, 128, 64)",200,90.32587432861328,0.2921968698501587
0.0001,16,"(256, 128, 64)",300,83.28657531738281,0.3473575711250305
0.0001,16,"(128, 64, 32)",100,113.97449493408203,0.106883704662323
0.0001,16,"(128, 64, 32)",200,103.86505126953125,0.18610244989395142
0.0001,16,"(128, 64, 32)",300,92.32188415527344,0.2765558958053589
0.0001,16,"(64, 32, 16)",100,122.95918273925781,0.03647875785827637
0.0001,16,"(64, 32, 16)",200,115.36653900146484,0.09597557783126831
0.0001,16,"(64, 32, 16)",300,111.04558563232422,0.12983494997024536
0.0001,16,"(32, 16, 8)",100,126.86750030517578,0.005852818489074707
0.0001,16,"(32, 16, 8)",200,123.31996154785156,0.03365170955657959
0.0001,16,"(32, 16, 8)",300,117.9007339477539,0.07611733675003052
0.0001,16,"(64, 32, 16, 8)",100,124.0956039428711,0.02757364511489868
0.0001,16,"(64, 32, 16, 8)",200,125.80989837646484,0.014140307903289795
0.0001,16,"(64, 32, 16, 8)",300,112.21014404296875,0.1207093596458435
0.0001,32,"(256, 128, 64)",100,106.3119888305664,0.16692793369293213
0.0001,32,"(256, 128, 64)",200,90.21858215332031,0.2930375933647156
0.0001,32,"(256, 128, 64)",300,87.51128387451172,0.31425225734710693
0.0001,32,"(128, 64, 32)",100,117.08501434326172,0.08250933885574341
0.0001,32,"(128, 64, 32)",200,105.819091796875,0.17079031467437744
0.0001,32,"(128, 64, 32)",300,96.66267395019531,0.24254101514816284
0.0001,32,"(64, 32, 16)",100,125.78085327148438,0.014367878437042236
0.0001,32,"(64, 32, 16)",200,116.84402465820312,0.08439779281616211
0.0001,32,"(64, 32, 16)",300,118.75682067871094,0.06940889358520508
0.0001,32,"(32, 16, 8)",100,126.91250610351562,0.005500137805938721
0.0001,32,"(32, 16, 8)",200,125.08995819091797,0.019781827926635742
0.0001,32,"(32, 16, 8)",300,121.05870819091797,0.051371097564697266
0.0001,32,"(64, 32, 16, 8)",100,124.0701675415039,0.027772963047027588
0.0001,32,"(64, 32, 16, 8)",200,120.25908660888672,0.057637035846710205
0.0001,32,"(64, 32, 16, 8)",300,120.13714599609375,0.05859255790710449
1e-05,8,"(256, 128, 64)",100,125.2739486694336,0.01834005117416382
1e-05,8,"(256, 128, 64)",200,122.40003967285156,0.04086029529571533
1e-05,8,"(256, 128, 64)",300,118.65743255615234,0.07018774747848511
1e-05,8,"(128, 64, 32)",100,126.70674896240234,0.007112443447113037
1e-05,8,"(128, 64, 32)",200,125.49893951416016,0.01657700538635254
1e-05,8,"(128, 64, 32)",300,123.44815826416016,0.032647132873535156
1e-05,8,"(64, 32, 16)",100,127.52578735351562,0.0006943941116333008
1e-05,8,"(64, 32, 16)",200,127.20552825927734,0.0032039284706115723
1e-05,8,"(64, 32, 16)",300,126.02717590332031,0.012437641620635986
1e-05,8,"(32, 16, 8)",100,127.72724151611328,-0.0008842945098876953
1e-05,8,"(32, 16, 8)",200,127.5133285522461,0.0007919669151306152
1e-05,8,"(32, 16, 8)",300,127.15930938720703,0.003566145896911621
1e-05,8,"(64, 32, 16, 8)",100,127.86325073242188,-0.0019500255584716797
1e-05,8,"(64, 32, 16, 8)",200,127.55101013183594,0.0004967451095581055
1e-05,8,"(64, 32, 16, 8)",300,127.68226623535156,-0.0005317926406860352
1e-05,16,"(256, 128, 64)",100,125.91825103759766,0.01329118013381958
1e-05,16,"(256, 128, 64)",200,123.74349212646484,0.030332863330841064
1e-05,16,"(256, 128, 64)",300,120.1846694946289,0.05822014808654785
1e-05,16,"(128, 64, 32)",100,126.8901596069336,0.005675256252288818
1e-05,16,"(128, 64, 32)",200,126.12220001220703,0.011693060398101807
1e-05,16,"(128, 64, 32)",300,126.11955261230469,0.011713802814483643
1e-05,16,"(64, 32, 16)",100,127.62134552001953,-5.447864532470703e-05
1e-05,16,"(64, 32, 16)",200,127.0534439086914,0.004395723342895508
1e-05,16,"(64, 32, 16)",300,126.94865417480469,0.005216836929321289
1e-05,16,"(32, 16, 8)",100,127.96532440185547,-0.002749919891357422
1e-05,16,"(32, 16, 8)",200,127.80284881591797,-0.0014766454696655273
1e-05,16,"(32, 16, 8)",300,127.88473510742188,-0.002118349075317383
