lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(128, 64, 32)",100,0.3914756178855896,0.9923492670059204
0.001,16,"(128, 64, 32)",200,0.2266581654548645,0.9955703616142273
0.001,16,"(64, 32, 16)",100,0.8068171143531799,0.9842320680618286
0.001,16,"(64, 32, 16)",200,0.07718551158905029,0.9984915256500244
0.001,16,"(64, 32, 16, 8)",100,47.3159065246582,0.07528847455978394
0.001,16,"(64, 32, 16, 8)",200,0.3004470765590668,0.9941282272338867
0.001,32,"(128, 64, 32)",100,1.3864179849624634,0.9729047417640686
0.001,32,"(128, 64, 32)",200,0.5591694712638855,0.9890719652175903
0.001,32,"(64, 32, 16)",100,3.074848175048828,0.9399071335792542
0.001,32,"(64, 32, 16)",200,1.149917721748352,0.9775267243385315
0.001,32,"(64, 32, 16, 8)",100,2.249584913253784,0.9560355544090271
0.001,32,"(64, 32, 16, 8)",200,0.36740487813949585,0.9928196668624878
0.0005,16,"(128, 64, 32)",100,1.2675029039382935,0.9752287268638611
0.0005,16,"(128, 64, 32)",200,0.19678732752799988,0.9961541295051575
0.0005,16,"(64, 32, 16)",100,2.0904664993286133,0.9591452479362488
0.0005,16,"(64, 32, 16)",200,0.42000097036361694,0.9917917847633362
0.0005,16,"(64, 32, 16, 8)",100,2.8745129108428955,0.9438223838806152
0.0005,16,"(64, 32, 16, 8)",200,1.0230611562728882,0.9800059795379639
0.0005,32,"(128, 64, 32)",100,3.7439658641815186,0.9268303513526917
0.0005,32,"(128, 64, 32)",200,0.43156224489212036,0.9915658235549927
0.0005,32,"(64, 32, 16)",100,2.654681444168091,0.9481186270713806
0.0005,32,"(64, 32, 16)",200,0.9816479086875916,0.9808152914047241
0.0005,32,"(64, 32, 16, 8)",100,47.64522933959961,0.06885242462158203
0.0005,32,"(64, 32, 16, 8)",200,2.0496270656585693,0.959943413734436
