lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,55.0273,0.0471
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,61.6884,-0.0683
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,69.5675,-0.2047
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,62.3798,-0.0803
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,65.0576,-0.1266
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",100,62.9354,-0.0899
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",200,63.5967,-0.1013
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",300,63.1358,-0.0934
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",400,64.3186,-0.1138
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",500,63.2694,-0.0957
0.001,8,"(256, 128, 64, 32, 16, 8)",100,57.2112,0.0092
0.001,8,"(256, 128, 64, 32, 16, 8)",200,64.4404,-0.1159
0.001,8,"(256, 128, 64, 32, 16, 8)",300,71.4858,-0.238
0.001,8,"(256, 128, 64, 32, 16, 8)",400,72.8119,-0.2609
0.001,8,"(256, 128, 64, 32, 16, 8)",500,65.6048,-0.1361
0.001,8,"(128, 64, 32, 16, 8)",100,66.2025,-0.1465
0.001,8,"(128, 64, 32, 16, 8)",200,66.261,-0.1475
0.001,8,"(128, 64, 32, 16, 8)",300,59.804,-0.0357
0.001,8,"(128, 64, 32, 16, 8)",400,70.2985,-0.2174
0.001,8,"(128, 64, 32, 16, 8)",500,72.5794,-0.2569
0.001,8,"(64, 32, 16, 8)",100,63.1639,-0.0938
0.001,8,"(64, 32, 16, 8)",200,65.5364,-0.1349
0.001,8,"(64, 32, 16, 8)",300,65.681,-0.1374
0.001,8,"(64, 32, 16, 8)",400,58.7602,-0.0176
0.001,8,"(64, 32, 16, 8)",500,61.4694,-0.0645
0.001,8,"(32, 16, 8)",100,61.8672,-0.0714
0.001,8,"(32, 16, 8)",200,61.9623,-0.073
0.001,8,"(32, 16, 8)",300,64.4773,-0.1166
0.001,8,"(32, 16, 8)",400,64.2116,-0.112
0.001,8,"(32, 16, 8)",500,60.2355,-0.0431
0.001,8,"(16, 8)",100,60.7078,-0.0513
0.001,8,"(16, 8)",200,59.5307,-0.0309
0.001,8,"(16, 8)",300,60.977,-0.056
0.001,8,"(16, 8)",400,59.9167,-0.0376
0.001,8,"(16, 8)",500,62.8916,-0.0891
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",100,60.9524,-0.0555
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",200,64.3548,-0.1145
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",300,60.9838,-0.0561
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",400,65.5077,-0.1344
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",500,58.0708,-0.0056
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",100,61.8427,-0.071
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",200,64.0254,-0.1088
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",300,65.8434,-0.1402
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",400,72.7957,-0.2606
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",500,71.1356,-0.2319
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",100,62.1906,-0.077
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",200,66.5295,-0.1521
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",300,65.1205,-0.1277
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",400,63.6604,-0.1024
