lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(256, 128, 64)",100,50.4643669128418,-0.11362874507904053
0.001,8,"(256, 128, 64)",200,51.883880615234375,-0.14495408535003662
0.001,8,"(256, 128, 64)",300,56.4474983215332,-0.24566233158111572
0.001,8,"(128, 64, 32)",100,49.669620513916016,-0.09609055519104004
0.001,8,"(128, 64, 32)",200,53.78398132324219,-0.18688476085662842
0.001,8,"(128, 64, 32)",300,54.54814529418945,-0.20374810695648193
0.001,8,"(64, 32, 16)",100,50.90509033203125,-0.12335455417633057
0.001,8,"(64, 32, 16)",200,45.97402572631836,-0.014537572860717773
0.001,8,"(64, 32, 16)",300,52.66330337524414,-0.16215407848358154
0.001,8,"(32, 16, 8)",100,48.16154861450195,-0.06281101703643799
0.001,8,"(32, 16, 8)",200,51.3325080871582,-0.13278663158416748
0.001,8,"(32, 16, 8)",300,57.52354431152344,-0.26940810680389404
0.001,8,"(64, 32, 16, 8)",100,49.95494079589844,-0.1023869514465332
0.001,8,"(64, 32, 16, 8)",200,52.00919723510742,-0.14771950244903564
0.001,8,"(64, 32, 16, 8)",300,52.905052185058594,-0.1674889326095581
0.001,16,"(256, 128, 64)",100,51.26615905761719,-0.13132238388061523
0.001,16,"(256, 128, 64)",200,52.39666748046875,-0.15627002716064453
0.001,16,"(256, 128, 64)",300,56.29026794433594,-0.24219250679016113
0.001,16,"(128, 64, 32)",100,49.416446685791016,-0.09050369262695312
0.001,16,"(128, 64, 32)",200,50.61683654785156,-0.11699342727661133
0.001,16,"(128, 64, 32)",300,51.42853927612305,-0.13490581512451172
0.001,16,"(64, 32, 16)",100,48.974117279052734,-0.0807424783706665
0.001,16,"(64, 32, 16)",200,50.06832504272461,-0.10488903522491455
0.001,16,"(64, 32, 16)",300,48.69137954711914,-0.07450306415557861
0.001,16,"(32, 16, 8)",100,48.111759185791016,-0.06171226501464844
0.001,16,"(32, 16, 8)",200,49.36184310913086,-0.08929872512817383
0.001,16,"(32, 16, 8)",300,47.74163818359375,-0.05354452133178711
0.001,16,"(64, 32, 16, 8)",100,48.88951110839844,-0.07887542247772217
