lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,44.0431,-0.0258
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,46.8168,-0.0904
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,43.8029,-0.0202
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,44.8734,-0.0452
0.001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,41.0852,0.0431
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",100,43.4939,-0.013
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",200,43.5198,-0.0136
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",300,43.3755,-0.0103
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",400,46.1484,-0.0749
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",500,40.8462,0.0486
0.001,8,"(256, 128, 64, 32, 16, 8)",100,46.1775,-0.0755
0.001,8,"(256, 128, 64, 32, 16, 8)",200,42.5627,0.0087
0.001,8,"(256, 128, 64, 32, 16, 8)",300,46.4678,-0.0823
0.001,8,"(256, 128, 64, 32, 16, 8)",400,44.56,-0.0379
0.001,8,"(256, 128, 64, 32, 16, 8)",500,47.4319,-0.1048
0.001,8,"(128, 64, 32, 16, 8)",100,42.0475,0.0207
0.001,8,"(128, 64, 32, 16, 8)",200,45.6841,-0.064
0.001,8,"(128, 64, 32, 16, 8)",300,46.4761,-0.0825
0.001,8,"(128, 64, 32, 16, 8)",400,44.3863,-0.0338
0.001,8,"(128, 64, 32, 16, 8)",500,41.9281,0.0234
0.001,8,"(64, 32, 16, 8)",100,45.4865,-0.0594
0.001,8,"(64, 32, 16, 8)",200,44.5056,-0.0366
0.001,8,"(64, 32, 16, 8)",300,43.0524,-0.0027
0.001,8,"(64, 32, 16, 8)",400,44.3789,-0.0336
0.001,8,"(64, 32, 16, 8)",500,41.9497,0.0229
0.001,8,"(32, 16, 8)",100,47.6934,-0.1108
0.001,8,"(32, 16, 8)",200,45.1514,-0.0516
0.001,8,"(32, 16, 8)",300,43.2954,-0.0084
0.001,8,"(32, 16, 8)",400,41.7021,0.0287
0.001,8,"(32, 16, 8)",500,43.0382,-0.0024
0.001,8,"(16, 8)",100,44.3859,-0.0338
0.001,8,"(16, 8)",200,46.1108,-0.074
0.001,8,"(16, 8)",300,48.4781,-0.1291
0.001,8,"(16, 8)",400,46.2657,-0.0776
0.001,8,"(16, 8)",500,46.7912,-0.0898
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",100,45.4477,-0.0585
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",200,47.0442,-0.0957
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",300,42.6807,0.0059
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",400,44.9007,-0.0458
0.001,8,"(256, 128, 128, 64, 64, 16, 8)",500,38.051,0.1137
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",100,41.9412,0.0231
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",200,42.9486,-0.0003
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",300,47.3906,-0.1038
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",400,46.8576,-0.0914
0.001,8,"(512, 256, 256, 128, 32, 32, 8)",500,47.6868,-0.1107
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",100,48.74,-0.1352
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",200,44.3561,-0.0331
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",300,55.2254,-0.2863
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",400,41.8437,0.0254
0.001,8,"(256, 128, 64, 64, 32, 8, 8)",500,44.0732,-0.0265
0.001,8,"(256, 128, 128, 64, 64, 32, 8)",100,43.8363,-0.021
0.001,8,"(256, 128, 128, 64, 64, 32, 8)",200,41.6588,0.0297
0.001,8,"(256, 128, 128, 64, 64, 32, 8)",300,51.4669,-0.1987
0.001,8,"(256, 128, 128, 64, 64, 32, 8)",400,47.1299,-0.0977
0.001,8,"(256, 128, 128, 64, 64, 32, 8)",500,45.2853,-0.0548
0.001,8,"(64, 32, 32, 16, 8)",100,47.1656,-0.0986
0.001,8,"(64, 32, 32, 16, 8)",200,44.2179,-0.0299
0.001,8,"(64, 32, 32, 16, 8)",300,43.8551,-0.0214
0.001,8,"(64, 32, 32, 16, 8)",400,41.0936,0.0429
0.001,8,"(64, 32, 32, 16, 8)",500,49.6199,-0.1557
0.001,8,"(32, 32, 16, 8)",100,45.8732,-0.0685
0.001,8,"(32, 32, 16, 8)",200,44.1441,-0.0282
0.001,8,"(32, 32, 16, 8)",300,47.634,-0.1095
0.001,8,"(32, 32, 16, 8)",400,51.0433,-0.1889
0.001,8,"(32, 32, 16, 8)",500,49.3694,-0.1499
0.001,12,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,44.3511,-0.033
0.001,12,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,40.5125,0.0564
0.001,12,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,44.8133,-0.0438
0.001,12,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,42.4193,0.012
0.001,12,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,46.1975,-0.076
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",100,41.1656,0.0412
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",200,43.9317,-0.0232
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",300,45.4714,-0.0591
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",400,42.0758,0.02
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",500,41.2352,0.0396
0.001,12,"(256, 128, 64, 32, 16, 8)",100,46.1394,-0.0747
0.001,12,"(256, 128, 64, 32, 16, 8)",200,42.7051,0.0053
0.001,12,"(256, 128, 64, 32, 16, 8)",300,43.8793,-0.022
0.001,12,"(256, 128, 64, 32, 16, 8)",400,45.9535,-0.0703
0.001,12,"(256, 128, 64, 32, 16, 8)",500,42.2928,0.0149
0.001,12,"(128, 64, 32, 16, 8)",100,45.0368,-0.049
0.001,12,"(128, 64, 32, 16, 8)",200,45.4546,-0.0587
0.001,12,"(128, 64, 32, 16, 8)",300,46.0312,-0.0721
0.001,12,"(128, 64, 32, 16, 8)",400,50.34,-0.1725
0.001,12,"(128, 64, 32, 16, 8)",500,40.9642,0.0459
0.001,12,"(64, 32, 16, 8)",100,46.0612,-0.0728
0.001,12,"(64, 32, 16, 8)",200,46.0141,-0.0717
0.001,12,"(64, 32, 16, 8)",300,43.7767,-0.0196
0.001,12,"(64, 32, 16, 8)",400,43.4711,-0.0125
0.001,12,"(64, 32, 16, 8)",500,50.237,-0.1701
0.001,12,"(32, 16, 8)",100,45.9853,-0.0711
0.001,12,"(32, 16, 8)",200,47.4183,-0.1044
0.001,12,"(32, 16, 8)",300,42.0616,0.0203
0.001,12,"(32, 16, 8)",400,42.7829,0.0035
0.001,12,"(32, 16, 8)",500,46.2302,-0.0768
0.001,12,"(16, 8)",100,44.0737,-0.0265
0.001,12,"(16, 8)",200,45.8334,-0.0675
0.001,12,"(16, 8)",300,44.8258,-0.0441
0.001,12,"(16, 8)",400,47.6686,-0.1103
0.001,12,"(16, 8)",500,45.5857,-0.0618
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",100,43.2692,-0.0078
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",200,48.2116,-0.1229
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",300,42.1068,0.0193
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",400,43.7484,-0.019
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",500,49.7868,-0.1596
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",100,46.241,-0.077
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",200,42.344,0.0137
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",300,50.147,-0.168
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",400,44.2389,-0.0304
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",500,42.2212,0.0166
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",100,42.9343,-0.0
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",200,39.7793,0.0735
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",300,43.5212,-0.0137
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",400,51.7275,-0.2048
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",500,53.0629,-0.2359
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",100,43.0911,-0.0037
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",200,47.7216,-0.1115
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",300,40.073,0.0666
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",400,45.3632,-0.0566
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",500,44.317,-0.0322
0.001,12,"(64, 32, 32, 16, 8)",100,42.9362,-0.0
0.001,12,"(64, 32, 32, 16, 8)",200,50.8472,-0.1843
0.001,12,"(64, 32, 32, 16, 8)",300,45.3073,-0.0553
0.001,12,"(64, 32, 32, 16, 8)",400,43.1754,-0.0056
0.001,12,"(64, 32, 32, 16, 8)",500,39.4363,0.0815
0.001,12,"(32, 32, 16, 8)",100,46.1927,-0.0759
0.001,12,"(32, 32, 16, 8)",200,43.3765,-0.0103
0.001,12,"(32, 32, 16, 8)",300,44.2484,-0.0306
0.001,12,"(32, 32, 16, 8)",400,49.0442,-0.1423
0.001,12,"(32, 32, 16, 8)",500,50.2343,-0.17
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,45.4779,-0.0592
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,46.135,-0.0745
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,43.9236,-0.023
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,44.0444,-0.0259
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,39.0611,0.0902
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",100,46.5528,-0.0843
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",200,43.8334,-0.0209
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",300,49.0582,-0.1426
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",400,38.457,0.1043
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",500,50.5968,-0.1785
0.001,16,"(256, 128, 64, 32, 16, 8)",100,45.2747,-0.0545
0.001,16,"(256, 128, 64, 32, 16, 8)",200,47.6934,-0.1108
0.001,16,"(256, 128, 64, 32, 16, 8)",300,41.2915,0.0383
0.001,16,"(256, 128, 64, 32, 16, 8)",400,42.0525,0.0205
0.001,16,"(256, 128, 64, 32, 16, 8)",500,52.2233,-0.2164
0.001,16,"(128, 64, 32, 16, 8)",100,43.6873,-0.0175
0.001,16,"(128, 64, 32, 16, 8)",200,50.679,-0.1804
0.001,16,"(128, 64, 32, 16, 8)",300,48.3639,-0.1265
0.001,16,"(128, 64, 32, 16, 8)",400,44.0882,-0.0269
0.001,16,"(128, 64, 32, 16, 8)",500,42.0403,0.0208
0.001,16,"(64, 32, 16, 8)",100,47.0578,-0.096
0.001,16,"(64, 32, 16, 8)",200,46.3559,-0.0797
0.001,16,"(64, 32, 16, 8)",300,51.7683,-0.2058
0.001,16,"(64, 32, 16, 8)",400,44.091,-0.0269
0.001,16,"(64, 32, 16, 8)",500,44.1957,-0.0294
0.001,16,"(32, 16, 8)",100,46.4577,-0.0821
0.001,16,"(32, 16, 8)",200,46.2622,-0.0775
0.001,16,"(32, 16, 8)",300,45.8153,-0.0671
0.001,16,"(32, 16, 8)",400,48.7779,-0.1361
0.001,16,"(32, 16, 8)",500,41.2354,0.0396
0.001,16,"(16, 8)",100,42.71,0.0052
0.001,16,"(16, 8)",200,45.3535,-0.0563
0.001,16,"(16, 8)",300,46.6067,-0.0855
0.001,16,"(16, 8)",400,48.6895,-0.134
0.001,16,"(16, 8)",500,46.7423,-0.0887
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",100,43.9353,-0.0233
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",200,42.4271,0.0118
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",300,49.9297,-0.1629
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",400,48.3294,-0.1257
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",500,50.1167,-0.1673
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",100,45.3168,-0.0555
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",200,45.6525,-0.0633
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",300,39.6104,0.0774
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",400,45.3804,-0.057
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",500,43.9548,-0.0238
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",100,45.1319,-0.0512
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",200,50.0739,-0.1663
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",300,42.7818,0.0036
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",400,44.5419,-0.0374
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",500,39.3021,0.0846
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",100,42.6585,0.0064
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",200,44.2458,-0.0305
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",300,47.428,-0.1047
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",400,44.9725,-0.0475
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",500,50.5961,-0.1785
0.001,16,"(64, 32, 32, 16, 8)",100,50.6469,-0.1796
0.001,16,"(64, 32, 32, 16, 8)",200,48.7605,-0.1357
