lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(1024, 512, 256)",100,32.192527770996094,-0.05841648578643799
0.001,8,"(1024, 512, 256)",200,33.509952545166016,-0.10173046588897705
0.001,8,"(1024, 512, 256)",300,28.848390579223633,0.051531076431274414
0.001,8,"(512, 256, 128)",100,32.98871612548828,-0.08459341526031494
0.001,8,"(512, 256, 128)",200,28.641929626464844,0.058319032192230225
0.001,8,"(512, 256, 128)",300,32.46287155151367,-0.06730484962463379
0.001,8,"(256, 128, 64)",100,32.373687744140625,-0.06437265872955322
0.001,8,"(256, 128, 64)",200,34.178123474121094,-0.12369835376739502
0.001,8,"(256, 128, 64)",300,37.12373733520508,-0.22054338455200195
0.001,8,"(128, 64, 32)",100,29.875938415527344,0.017747700214385986
0.001,8,"(128, 64, 32)",200,33.054317474365234,-0.08675014972686768
0.001,8,"(128, 64, 32)",300,34.33909225463867,-0.12899065017700195
0.001,8,"(64, 32, 16)",100,26.176965713500977,0.1393614411354065
0.001,8,"(64, 32, 16)",200,28.095577239990234,0.0762818455696106
0.001,8,"(64, 32, 16)",300,36.271453857421875,-0.19252216815948486
0.001,8,"(32, 16, 8)",100,25.826457977294922,0.15088528394699097
0.001,8,"(32, 16, 8)",200,28.852907180786133,0.051382601261138916
0.001,8,"(32, 16, 8)",300,29.472244262695312,0.031020164489746094
0.001,8,"(64, 32, 16, 8)",100,27.19520378112793,0.10588407516479492
0.001,8,"(64, 32, 16, 8)",200,36.50754928588867,-0.20028448104858398
0.001,8,"(64, 32, 16, 8)",300,30.70384407043457,-0.009471893310546875
0.001,8,"(512, 256, 128, 64, 32, 16)",100,28.58222007751465,0.06028217077255249
0.001,8,"(512, 256, 128, 64, 32, 16)",200,27.46479606628418,0.09702050685882568
0.001,8,"(512, 256, 128, 64, 32, 16)",300,27.60398292541504,0.09244436025619507
0.001,8,"(256, 128, 64, 32, 16)",100,28.430017471313477,0.06528621912002563
0.001,8,"(256, 128, 64, 32, 16)",200,32.19002914428711,-0.0583343505859375
0.001,8,"(256, 128, 64, 32, 16)",300,38.293006896972656,-0.258986234664917
0.001,8,"(1024, 512, 256, 128, 64, 32, 16)",100,31.60874366760254,-0.03922295570373535
0.001,8,"(1024, 512, 256, 128, 64, 32, 16)",200,34.45839309692383,-0.1329129934310913
0.001,8,"(1024, 512, 256, 128, 64, 32, 16)",300,32.531394958496094,-0.06955766677856445
0.001,8,"(1024, 512, 256, 128)",100,30.20139503479004,0.007047414779663086
0.001,8,"(1024, 512, 256, 128)",200,28.53265380859375,0.06191176176071167
0.001,8,"(1024, 512, 256, 128)",300,36.98481369018555,-0.21597588062286377
0.001,16,"(1024, 512, 256)",100,31.731170654296875,-0.04324805736541748
0.001,16,"(1024, 512, 256)",200,39.70832824707031,-0.3055187463760376
0.001,16,"(1024, 512, 256)",300,40.72698974609375,-0.3390101194381714
