lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(1024, 512, 256)",100,27.81847381591797,0.08539235591888428
0.001,8,"(1024, 512, 256)",150,26.000375747680664,0.14516723155975342
0.001,8,"(1024, 512, 256)",200,29.71241569519043,0.02312391996383667
0.001,8,"(1024, 512, 256)",300,24.942317962646484,0.17995381355285645
0.001,8,"(512, 256, 128)",100,29.143890380859375,0.04181569814682007
0.001,8,"(512, 256, 128)",150,29.728435516357422,0.02259725332260132
0.001,8,"(512, 256, 128)",200,31.848270416259766,-0.04709804058074951
0.001,8,"(512, 256, 128)",300,27.30011749267578,0.10243475437164307
0.001,8,"(256, 128, 64)",100,28.51331901550293,0.06254744529724121
0.001,8,"(256, 128, 64)",150,28.355592727661133,0.06773316860198975
0.001,8,"(256, 128, 64)",200,32.371646881103516,-0.06430554389953613
0.001,8,"(256, 128, 64)",300,35.88157272338867,-0.17970383167266846
0.001,8,"(128, 64, 32)",100,29.727231979370117,0.022636771202087402
0.001,8,"(128, 64, 32)",150,32.33060836791992,-0.06295621395111084
0.001,8,"(128, 64, 32)",200,39.20275115966797,-0.2888965606689453
0.001,8,"(128, 64, 32)",300,37.68056869506836,-0.23885071277618408
0.001,8,"(64, 32, 16)",100,26.90409278869629,0.11545515060424805
0.001,8,"(64, 32, 16)",150,29.270435333251953,0.03765523433685303
0.001,8,"(64, 32, 16)",200,32.73765182495117,-0.07633888721466064
0.001,8,"(64, 32, 16)",300,30.56908416748047,-0.005041360855102539
0.001,8,"(32, 16, 8)",100,27.262807846069336,0.10366135835647583
0.001,8,"(32, 16, 8)",150,27.121206283569336,0.10831689834594727
0.001,8,"(32, 16, 8)",200,24.760513305664062,0.18593108654022217
0.001,8,"(32, 16, 8)",300,25.09154510498047,0.17504751682281494
0.001,8,"(64, 32, 16, 8)",100,27.898143768310547,0.08277297019958496
0.001,8,"(64, 32, 16, 8)",150,28.870668411254883,0.050798654556274414
0.001,8,"(64, 32, 16, 8)",200,31.817230224609375,-0.04607748985290527
0.001,8,"(64, 32, 16, 8)",300,29.22538948059082,0.03913623094558716
0.001,8,"(128, 64, 32, 16)",100,31.25037384033203,-0.027440547943115234
0.001,8,"(128, 64, 32, 16)",150,29.060075759887695,0.04457134008407593
0.001,8,"(128, 64, 32, 16)",200,31.621376037597656,-0.03963828086853027
0.001,8,"(128, 64, 32, 16)",300,33.49761199951172,-0.10132455825805664
0.001,8,"(256, 128, 64, 32)",100,26.007423400878906,0.14493554830551147
0.001,8,"(256, 128, 64, 32)",150,28.82769203186035,0.05221158266067505
0.001,8,"(256, 128, 64, 32)",200,28.267412185668945,0.07063233852386475
0.001,8,"(256, 128, 64, 32)",300,26.405925750732422,0.1318337321281433
0.001,8,"(1024, 512, 256, 128)",100,29.338266372680664,0.03542506694793701
0.001,8,"(1024, 512, 256, 128)",150,35.77898025512695,-0.1763308048248291
0.001,8,"(1024, 512, 256, 128)",200,25.94192886352539,0.147088885307312
0.001,8,"(1024, 512, 256, 128)",300,24.966655731201172,0.17915362119674683
0.001,8,"(512, 256, 128, 64, 32)",100,23.757776260375977,0.21889883279800415
0.001,8,"(512, 256, 128, 64, 32)",150,23.277475357055664,0.23469001054763794
0.001,8,"(512, 256, 128, 64, 32)",200,34.49214553833008,-0.13402259349822998
0.001,8,"(512, 256, 128, 64, 32)",300,29.28603172302246,0.03714245557785034
0.001,8,"(256, 128, 64, 32, 16)",100,31.718341827392578,-0.042826294898986816
0.001,8,"(256, 128, 64, 32, 16)",150,33.08729934692383,-0.08783459663391113
0.001,8,"(256, 128, 64, 32, 16)",200,23.882892608642578,0.21478527784347534
0.001,8,"(256, 128, 64, 32, 16)",300,26.339326858520508,0.13402330875396729
0.001,8,"(1024, 512, 256, 128, 64)",100,35.610450744628906,-0.17078983783721924
0.001,8,"(1024, 512, 256, 128, 64)",150,28.611886978149414,0.059306800365448
0.001,8,"(1024, 512, 256, 128, 64)",200,33.705535888671875,-0.10816073417663574
0.001,8,"(1024, 512, 256, 128, 64)",300,29.8702392578125,0.01793503761291504
0.001,8,"(1024, 512, 256, 128, 64, 32, 16)",100,25.543045043945312,0.16020327806472778
0.001,8,"(1024, 512, 256, 128, 64, 32, 16)",150,26.640478134155273,0.12412214279174805
0.001,8,"(1024, 512, 256, 128, 64, 32, 16)",200,39.87884521484375,-0.31112492084503174
0.001,8,"(1024, 512, 256, 128, 64, 32, 16)",300,26.631610870361328,0.12441372871398926
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",100,28.268272399902344,0.07060402631759644
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",150,34.25434494018555,-0.12620437145233154
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",200,31.20172691345215,-0.025841236114501953
0.001,8,"(512, 256, 128, 64, 32, 16, 8)",300,31.679534912109375,-0.041550397872924805
0.001,8,"(128, 256, 512, 256, 128, 64, 32)",100,31.641584396362305,-0.04030275344848633
0.001,8,"(128, 256, 512, 256, 128, 64, 32)",150,30.271514892578125,0.004741966724395752
0.001,8,"(128, 256, 512, 256, 128, 64, 32)",200,32.649566650390625,-0.07344293594360352
0.001,8,"(128, 256, 512, 256, 128, 64, 32)",300,29.250354766845703,0.03831547498703003
0.001,8,"(128, 256, 512, 512, 256, 128, 32)",100,38.32447052001953,-0.2600206136703491
0.001,8,"(128, 256, 512, 512, 256, 128, 32)",150,29.907777786254883,0.0167008638381958
