lr,batch_size,hidden_sizes,epochs,mse,r2
0.01,8,"(1024, 512, 256)",100,29.771833419799805,0.021170437335968018
0.01,8,"(1024, 512, 256)",150,29.807401657104492,0.02000105381011963
0.01,8,"(1024, 512, 256)",200,30.455862045288086,-0.0013189315795898438
0.01,8,"(1024, 512, 256)",300,29.647939682006836,0.025243759155273438
0.01,8,"(512, 256, 128)",100,29.68334197998047,0.02407979965209961
0.01,8,"(512, 256, 128)",150,31.134521484375,-0.023631691932678223
0.01,8,"(512, 256, 128)",200,28.404258728027344,0.06613314151763916
0.01,8,"(512, 256, 128)",300,31.38314437866211,-0.03180575370788574
0.01,8,"(256, 128, 64)",100,28.92935562133789,0.04886913299560547
0.01,8,"(256, 128, 64)",150,28.754343032836914,0.05462312698364258
0.01,8,"(256, 128, 64)",200,30.899288177490234,-0.015897750854492188
0.01,8,"(256, 128, 64)",300,28.580711364746094,0.060331761837005615
0.01,8,"(128, 64, 32)",100,27.040626525878906,0.11096620559692383
0.01,8,"(128, 64, 32)",150,33.15675735473633,-0.0901181697845459
0.01,8,"(128, 64, 32)",200,32.877567291259766,-0.08093893527984619
0.01,8,"(128, 64, 32)",300,33.87908935546875,-0.11386668682098389
0.01,8,"(64, 32, 16)",100,27.181421279907227,0.10633724927902222
0.01,8,"(64, 32, 16)",150,35.00261688232422,-0.15080571174621582
0.01,8,"(64, 32, 16)",200,31.640411376953125,-0.040264129638671875
0.01,8,"(64, 32, 16)",300,33.15243911743164,-0.08997607231140137
0.01,8,"(32, 16, 8)",100,30.171045303344727,0.0080452561378479
0.01,8,"(32, 16, 8)",150,26.44268226623535,0.13062524795532227
0.01,8,"(32, 16, 8)",200,30.211219787597656,0.006724357604980469
0.01,8,"(32, 16, 8)",300,31.07113265991211,-0.021547555923461914
0.01,8,"(64, 32, 16, 8)",100,29.28573226928711,0.03715229034423828
0.01,8,"(64, 32, 16, 8)",150,31.349689483642578,-0.030705928802490234
0.01,8,"(64, 32, 16, 8)",200,27.532901763916016,0.09478133916854858
0.01,8,"(64, 32, 16, 8)",300,28.581796646118164,0.060296058654785156
0.01,8,"(128, 64, 32, 16)",100,27.9862117767334,0.07987755537033081
0.01,8,"(128, 64, 32, 16)",150,32.04201126098633,-0.05346786975860596
0.01,8,"(128, 64, 32, 16)",200,30.442432403564453,-0.00087738037109375
0.01,8,"(128, 64, 32, 16)",300,27.308521270751953,0.10215848684310913
0.01,8,"(256, 128, 64, 32)",100,25.245149612426758,0.16999733448028564
0.01,8,"(256, 128, 64, 32)",150,37.29567337036133,-0.22619616985321045
0.01,8,"(256, 128, 64, 32)",200,28.94550895690918,0.04833805561065674
0.01,8,"(256, 128, 64, 32)",300,40.32965087890625,-0.3259463310241699
0.01,8,"(1024, 512, 256, 128)",100,30.06527328491211,0.011522769927978516
0.01,8,"(1024, 512, 256, 128)",150,30.441781997680664,-0.0008560419082641602
0.01,8,"(1024, 512, 256, 128)",200,30.44081687927246,-0.0008242130279541016
0.01,8,"(1024, 512, 256, 128)",300,29.92418098449707,0.016161561012268066
0.01,8,"(512, 256, 128, 64, 32)",100,31.201852798461914,-0.02584528923034668
0.01,8,"(512, 256, 128, 64, 32)",150,30.439672470092773,-0.0007866621017456055
0.01,8,"(512, 256, 128, 64, 32)",200,30.444461822509766,-0.0009440183639526367
0.01,8,"(512, 256, 128, 64, 32)",300,30.401018142700195,0.00048422813415527344
0.01,8,"(256, 128, 64, 32, 16)",100,26.68923568725586,0.12251913547515869
0.01,8,"(256, 128, 64, 32, 16)",150,30.849267959594727,-0.01425313949584961
0.01,8,"(256, 128, 64, 32, 16)",200,32.490238189697266,-0.06820452213287354
0.01,8,"(256, 128, 64, 32, 16)",300,29.936552047729492,0.015754878520965576
0.01,8,"(1024, 512, 256, 128, 64)",100,30.44597816467285,-0.000993967056274414
0.01,8,"(1024, 512, 256, 128, 64)",150,30.436813354492188,-0.0006926059722900391
0.01,8,"(1024, 512, 256, 128, 64)",200,30.449899673461914,-0.0011228322982788086
0.01,8,"(1024, 512, 256, 128, 64)",300,30.44027328491211,-0.0008063316345214844
0.01,8,"(1024, 512, 256, 128, 64, 32, 16)",100,30.437328338623047,-0.00070953369140625
0.01,8,"(1024, 512, 256, 128, 64, 32, 16)",150,30.42269515991211,-0.00022840499877929688
0.01,8,"(1024, 512, 256, 128, 64, 32, 16)",200,30.439062118530273,-0.0007665157318115234
0.01,8,"(1024, 512, 256, 128, 64, 32, 16)",300,30.43320655822754,-0.0005739927291870117
0.01,8,"(512, 256, 128, 64, 32, 16, 8)",100,30.44313621520996,-0.0009005069732666016
0.01,8,"(512, 256, 128, 64, 32, 16, 8)",150,30.4320068359375,-0.0005345344543457031
0.01,8,"(512, 256, 128, 64, 32, 16, 8)",200,30.446441650390625,-0.001009225845336914
0.01,8,"(512, 256, 128, 64, 32, 16, 8)",300,30.431961059570312,-0.0005331039428710938
0.01,8,"(128, 256, 512, 256, 128, 64, 32)",100,30.98668670654297,-0.01877117156982422
0.01,8,"(128, 256, 512, 256, 128, 64, 32)",150,30.435373306274414,-0.0006452798843383789
0.01,8,"(128, 256, 512, 256, 128, 64, 32)",200,30.44798469543457,-0.001059889793395996
0.01,8,"(128, 256, 512, 256, 128, 64, 32)",300,30.432435989379883,-0.0005487203598022461
0.01,8,"(128, 256, 512, 512, 256, 128, 32)",100,30.438323974609375,-0.0007421970367431641
0.01,8,"(128, 256, 512, 512, 256, 128, 32)",150,30.451303482055664,-0.0011690855026245117
0.01,8,"(128, 256, 512, 512, 256, 128, 32)",200,30.440622329711914,-0.0008177757263183594
0.01,8,"(128, 256, 512, 512, 256, 128, 32)",300,30.43601417541504,-0.0006663799285888672
0.01,8,"(32, 64, 182, 256, 128, 64, 32)",100,30.441001892089844,-0.0008302927017211914
0.01,8,"(32, 64, 182, 256, 128, 64, 32)",150,30.444467544555664,-0.0009442567825317383
0.01,8,"(32, 64, 182, 256, 128, 64, 32)",200,30.453731536865234,-0.0012488365173339844
0.01,8,"(32, 64, 182, 256, 128, 64, 32)",300,30.442636489868164,-0.0008840560913085938
0.01,8,"(64, 128, 256, 512, 256, 128, 64, 32)",100,30.43307113647461,-0.0005695819854736328
0.01,8,"(64, 128, 256, 512, 256, 128, 64, 32)",150,30.4522705078125,-0.0012007951736450195
0.01,8,"(64, 128, 256, 512, 256, 128, 64, 32)",200,30.43578338623047,-0.0006587505340576172
0.01,8,"(64, 128, 256, 512, 256, 128, 64, 32)",300,30.44101905822754,-0.0008308887481689453
0.01,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",100,30.44469451904297,-0.0009517669677734375
0.01,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",150,30.444141387939453,-0.000933527946472168
0.01,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",200,30.436153411865234,-0.0006709098815917969
0.01,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",300,30.448486328125,-0.001076340675354004
0.01,12,"(1024, 512, 256)",100,26.795495986938477,0.1190255880355835
0.01,12,"(1024, 512, 256)",150,29.625205993652344,0.025991201400756836
0.01,12,"(1024, 512, 256)",200,30.0479736328125,0.012091517448425293
0.01,12,"(1024, 512, 256)",300,25.859169006347656,0.1498098373413086
0.01,12,"(512, 256, 128)",100,32.745277404785156,-0.07658958435058594
0.01,12,"(512, 256, 128)",150,29.890844345092773,0.01725757122039795
0.01,12,"(512, 256, 128)",200,35.013946533203125,-0.151178240776062
0.01,12,"(512, 256, 128)",300,26.00395965576172,0.14504945278167725
0.01,12,"(256, 128, 64)",100,27.315509796142578,0.1019287109375
0.01,12,"(256, 128, 64)",150,36.172515869140625,-0.18926942348480225
0.01,12,"(256, 128, 64)",200,29.97826385498047,0.014383435249328613
0.01,12,"(256, 128, 64)",300,35.517024993896484,-0.1677182912826538
0.01,12,"(128, 64, 32)",100,33.53810501098633,-0.10265588760375977
0.01,12,"(128, 64, 32)",150,35.71233367919922,-0.1741396188735962
0.01,12,"(128, 64, 32)",200,35.98050308227539,-0.18295645713806152
0.01,12,"(128, 64, 32)",300,31.326318740844727,-0.0299375057220459
0.01,12,"(64, 32, 16)",100,28.44699478149414,0.0647280216217041
0.01,12,"(64, 32, 16)",150,24.421030044555664,0.19709253311157227
0.01,12,"(64, 32, 16)",200,34.799259185791016,-0.14411985874176025
0.01,12,"(64, 32, 16)",300,31.425743103027344,-0.03320634365081787
0.01,12,"(32, 16, 8)",100,28.812145233154297,0.0527227520942688
0.01,12,"(32, 16, 8)",150,31.13269805908203,-0.02357172966003418
0.01,12,"(32, 16, 8)",200,33.78369903564453,-0.11073052883148193
0.01,12,"(32, 16, 8)",300,32.63328170776367,-0.0729074478149414
0.01,12,"(64, 32, 16, 8)",100,29.115209579467773,0.04275870323181152
0.01,12,"(64, 32, 16, 8)",150,36.41816329956055,-0.19734573364257812
0.01,12,"(64, 32, 16, 8)",200,27.938154220581055,0.08145755529403687
0.01,12,"(64, 32, 16, 8)",300,35.65860366821289,-0.17237317562103271
0.01,12,"(128, 64, 32, 16)",100,27.890716552734375,0.08301723003387451
0.01,12,"(128, 64, 32, 16)",150,27.943212509155273,0.08129125833511353
0.01,12,"(128, 64, 32, 16)",200,32.45814895629883,-0.06714940071105957
0.01,12,"(128, 64, 32, 16)",300,37.95980453491211,-0.24803125858306885
0.01,12,"(256, 128, 64, 32)",100,29.81502914428711,0.019750237464904785
0.01,12,"(256, 128, 64, 32)",150,30.331226348876953,0.0027788877487182617
0.01,12,"(256, 128, 64, 32)",200,30.66402816772461,-0.008162856101989746
0.01,12,"(256, 128, 64, 32)",300,30.08910369873047,0.010739266872406006
0.01,12,"(1024, 512, 256, 128)",100,30.439167022705078,-0.0007699728012084961
0.01,12,"(1024, 512, 256, 128)",150,30.987730026245117,-0.018805503845214844
0.01,12,"(1024, 512, 256, 128)",200,30.468046188354492,-0.0017194747924804688
0.01,12,"(1024, 512, 256, 128)",300,30.43996238708496,-0.000796198844909668
0.01,12,"(512, 256, 128, 64, 32)",100,30.540220260620117,-0.00409245491027832
0.01,12,"(512, 256, 128, 64, 32)",150,30.933034896850586,-0.01700723171234131
0.01,12,"(512, 256, 128, 64, 32)",200,29.839460372924805,0.01894700527191162
0.01,12,"(512, 256, 128, 64, 32)",300,31.391611099243164,-0.03208422660827637
0.01,12,"(256, 128, 64, 32, 16)",100,27.266328811645508,0.10354560613632202
0.01,12,"(256, 128, 64, 32, 16)",150,35.1306037902832,-0.15501368045806885
0.01,12,"(256, 128, 64, 32, 16)",200,40.92745590209961,-0.34560084342956543
0.01,12,"(256, 128, 64, 32, 16)",300,31.64810562133789,-0.04051709175109863
0.01,12,"(1024, 512, 256, 128, 64)",100,30.431833267211914,-0.0005288124084472656
0.01,12,"(1024, 512, 256, 128, 64)",150,30.695505142211914,-0.009197831153869629
0.01,12,"(1024, 512, 256, 128, 64)",200,30.441755294799805,-0.0008550882339477539
0.01,12,"(1024, 512, 256, 128, 64)",300,30.43174934387207,-0.0005260705947875977
0.01,12,"(1024, 512, 256, 128, 64, 32, 16)",100,30.483566284179688,-0.0022296905517578125
0.01,12,"(1024, 512, 256, 128, 64, 32, 16)",150,31.007930755615234,-0.019469618797302246
0.01,12,"(1024, 512, 256, 128, 64, 32, 16)",200,30.54741859436035,-0.004329085350036621
0.01,12,"(1024, 512, 256, 128, 64, 32, 16)",300,30.42135238647461,-0.0001842975616455078
0.01,12,"(512, 256, 128, 64, 32, 16, 8)",100,30.440038681030273,-0.0007987022399902344
0.01,12,"(512, 256, 128, 64, 32, 16, 8)",150,30.957334518432617,-0.017806172370910645
0.01,12,"(512, 256, 128, 64, 32, 16, 8)",200,29.748851776123047,0.02192598581314087
0.01,12,"(512, 256, 128, 64, 32, 16, 8)",300,30.431753158569336,-0.0005261898040771484
0.01,12,"(128, 256, 512, 256, 128, 64, 32)",100,30.42601776123047,-0.0003377199172973633
0.01,12,"(128, 256, 512, 256, 128, 64, 32)",150,30.45005989074707,-0.001128077507019043
0.01,12,"(128, 256, 512, 256, 128, 64, 32)",200,30.404136657714844,0.00038170814514160156
0.01,12,"(128, 256, 512, 256, 128, 64, 32)",300,30.125436782836914,0.009544789791107178
0.01,12,"(128, 256, 512, 512, 256, 128, 32)",100,30.42991828918457,-0.0004658699035644531
0.01,12,"(128, 256, 512, 512, 256, 128, 32)",150,30.45392417907715,-0.0012551546096801758
0.01,12,"(128, 256, 512, 512, 256, 128, 32)",200,30.44394874572754,-0.0009272098541259766
0.01,12,"(128, 256, 512, 512, 256, 128, 32)",300,30.437227249145508,-0.0007061958312988281
0.01,12,"(32, 64, 182, 256, 128, 64, 32)",100,30.44911766052246,-0.0010972023010253906
0.01,12,"(32, 64, 182, 256, 128, 64, 32)",150,30.433218002319336,-0.0005743503570556641
0.01,12,"(32, 64, 182, 256, 128, 64, 32)",200,26.596500396728516,0.12556809186935425
0.01,12,"(32, 64, 182, 256, 128, 64, 32)",300,30.438589096069336,-0.0007510185241699219
0.01,12,"(64, 128, 256, 512, 256, 128, 64, 32)",100,30.439533233642578,-0.000782012939453125
0.01,12,"(64, 128, 256, 512, 256, 128, 64, 32)",150,30.437807083129883,-0.0007252693176269531
0.01,12,"(64, 128, 256, 512, 256, 128, 64, 32)",200,30.483583450317383,-0.0022302865982055664
0.01,12,"(64, 128, 256, 512, 256, 128, 64, 32)",300,30.43787956237793,-0.0007276535034179688
0.01,12,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",100,30.435232162475586,-0.0006406307220458984
0.01,12,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",150,30.430192947387695,-0.0004749298095703125
0.01,12,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",200,30.451244354248047,-0.0011670589447021484
0.01,12,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",300,30.441255569458008,-0.0008386373519897461
0.01,16,"(1024, 512, 256)",100,29.449968338012695,0.031752586364746094
0.01,16,"(1024, 512, 256)",150,30.525564193725586,-0.0036106109619140625
0.01,16,"(1024, 512, 256)",200,33.7607536315918,-0.10997605323791504
0.01,16,"(1024, 512, 256)",300,33.6352424621582,-0.10584962368011475
0.01,16,"(512, 256, 128)",100,29.501953125,0.030043423175811768
0.01,16,"(512, 256, 128)",150,28.284284591674805,0.07007759809494019
0.01,16,"(512, 256, 128)",200,26.6519832611084,0.1237439513206482
0.01,16,"(512, 256, 128)",300,31.725059509277344,-0.043047189712524414
0.01,16,"(256, 128, 64)",100,30.419248580932617,-0.00011515617370605469
0.01,16,"(256, 128, 64)",150,35.804256439208984,-0.1771618127822876
0.01,16,"(256, 128, 64)",200,31.27554702758789,-0.02826821804046631
0.01,16,"(256, 128, 64)",300,32.036991119384766,-0.053302764892578125
0.01,16,"(128, 64, 32)",100,33.09135437011719,-0.0879678726196289
0.01,16,"(128, 64, 32)",150,30.250226974487305,0.005441904067993164
0.01,16,"(128, 64, 32)",200,44.33036804199219,-0.457480788230896
0.01,16,"(128, 64, 32)",300,37.21149444580078,-0.2234286069869995
0.01,16,"(64, 32, 16)",100,34.81732177734375,-0.14471375942230225
0.01,16,"(64, 32, 16)",150,42.311710357666016,-0.3911120891571045
0.01,16,"(64, 32, 16)",200,25.19438362121582,0.17166650295257568
0.01,16,"(64, 32, 16)",300,26.996566772460938,0.11241483688354492
0.01,16,"(32, 16, 8)",100,30.469655990600586,-0.0017724037170410156
0.01,16,"(32, 16, 8)",150,32.22080612182617,-0.05934619903564453
0.01,16,"(32, 16, 8)",200,28.954975128173828,0.04802680015563965
0.01,16,"(32, 16, 8)",300,33.3675651550293,-0.09704899787902832
0.01,16,"(64, 32, 16, 8)",100,26.429065704345703,0.13107293844223022
0.01,16,"(64, 32, 16, 8)",150,42.2294807434082,-0.3884085416793823
0.01,16,"(64, 32, 16, 8)",200,46.72550964355469,-0.5362275838851929
0.01,16,"(64, 32, 16, 8)",300,30.601411819458008,-0.006104230880737305
0.01,16,"(128, 64, 32, 16)",100,31.764617919921875,-0.04434776306152344
0.01,16,"(128, 64, 32, 16)",150,30.480131149291992,-0.0021167993545532227
0.01,16,"(128, 64, 32, 16)",200,29.301088333129883,0.03664743900299072
0.01,16,"(128, 64, 32, 16)",300,39.17840576171875,-0.2880960702896118
0.01,16,"(256, 128, 64, 32)",100,29.551387786865234,0.028418123722076416
0.01,16,"(256, 128, 64, 32)",150,28.79256820678711,0.05336642265319824
0.01,16,"(256, 128, 64, 32)",200,31.067947387695312,-0.021442890167236328
0.01,16,"(256, 128, 64, 32)",300,28.09375,0.07634192705154419
0.01,16,"(1024, 512, 256, 128)",100,32.22189712524414,-0.059382081031799316
0.01,16,"(1024, 512, 256, 128)",150,33.205322265625,-0.09171485900878906
0.01,16,"(1024, 512, 256, 128)",200,32.3277473449707,-0.06286215782165527
0.01,16,"(1024, 512, 256, 128)",300,28.971942901611328,0.04746896028518677
0.01,16,"(512, 256, 128, 64, 32)",100,27.110769271850586,0.10866004228591919
0.01,16,"(512, 256, 128, 64, 32)",150,29.498910903930664,0.030143439769744873
0.01,16,"(512, 256, 128, 64, 32)",200,32.29473876953125,-0.06177687644958496
0.01,16,"(512, 256, 128, 64, 32)",300,32.00619125366211,-0.05229008197784424
0.01,16,"(256, 128, 64, 32, 16)",100,26.060853958129883,0.14317888021469116
0.01,16,"(256, 128, 64, 32, 16)",150,29.919939041137695,0.01630103588104248
0.01,16,"(256, 128, 64, 32, 16)",200,36.584495544433594,-0.20281434059143066
0.01,16,"(256, 128, 64, 32, 16)",300,33.69689178466797,-0.10787653923034668
0.01,16,"(1024, 512, 256, 128, 64)",100,30.537960052490234,-0.004018068313598633
0.01,16,"(1024, 512, 256, 128, 64)",150,30.020925521850586,0.012980818748474121
0.01,16,"(1024, 512, 256, 128, 64)",200,30.438636779785156,-0.000752568244934082
